하타, 62, 183
사다, 89, 194
사차, 93, 197
하하, 99, 190
나하, 96, 162
마바, 71, 160
타다, 59, 151
라카, 72, 140
가마, 51, 199
파라, 61, 154
파마, 92, 164
바카, 93, 194
자파, 60, 197
카타, 94, 189
타가, 49, 172
가다, 54, 193
차나, 96, 199
자마, 86, 192
파자, 63, 162
카가, 65, 192
차바, 85, 195
아타, 45, 155
다아, 78, 178
파하, 90, 182
타자, 68, 147
마라, 45, 149
자가, 98, 199
마카, 59, 178
하아, 95, 155
카자, 64, 180
사카, 77, 158
하다, 80, 198
나자, 48, 158
라라, 81, 150
카타, 77, 190
파라, 98, 175
차파, 66, 182
타바, 78, 144
하아, 52, 178
가다, 51, 173
파카, 45, 193
카아, 83, 183
자사, 62, 140
차타, 49, 169
라타, 76, 157
가가, 90, 177
카가, 58, 158
라나, 98, 183
나차, 75, 178
차자, 85, 176
사타, 63, 150
사자, 54, 197
자마, 42, 149
타마, 48, 173
자다, 94, 149
마사, 87, 155
다나, 99, 153
파라, 91, 158
바다, 82, 186
마바, 91, 196
바카, 76, 179
파나, 65, 149
라차, 86, 149
가아, 50, 181
카자, 87, 146
파자, 69, 184
타바, 52, 149
차자, 85, 187
바타, 45, 147
가사, 85, 142
나가, 73, 158
하가, 89, 183
타차, 81, 152
자다, 91, 193
바가, 85, 170
가마, 45, 186
가다, 98, 166
카가, 40, 174
다다, 60, 178
하사, 69, 144
타자, 80, 173
파라, 64, 170
자하, 42, 170
아마, 74, 178
차파, 97, 165
카사, 71, 190
라다, 54, 171
나바, 92, 143
파자, 60, 159
라차, 46, 153
차자, 78, 160
타가, 82, 151
차카, 57, 140
다카, 51, 164
가사, 74, 170
마파, 95, 140
아가, 43, 183
가마, 40, 181
자사, 62, 153
사파, 72, 147
타마, 75, 177
타가, 87, 152
다차, 53, 172
가파, 63, 188
가타, 41, 195
하아, 65, 156
차파, 58, 157
라하, 48, 190
차차, 45, 151
마바, 86, 191
자하, 94, 154
파아, 58, 193
자다, 76, 169
마다, 57, 183
하카, 44, 191
라다, 48, 191
하마, 66, 164
아바, 49, 162
파라, 74, 151
자다, 67, 180
가타, 58, 148
파바, 99, 188
아다, 88, 168
다파, 85, 179
마하, 93, 179
사마, 97, 194
하자, 84, 149
아다, 47, 143
나아, 79, 156
카사, 49, 176
가아, 50, 154
바다, 48, 146
나차, 71, 185
라나, 81, 176
차타, 76, 196
파하, 78, 189
아다, 67, 153
사나, 56, 194
라아, 71, 187
바파, 57, 155
차아, 43, 182
사파, 73, 164
나하, 75, 167
사하, 90, 154
다아, 43, 157
사나, 69, 166
타마, 92, 144
나파, 61, 192
마파, 80, 154
카사, 94, 155
가바, 53, 180
아다, 43, 145
카파, 83, 144
바아, 58, 194
사나, 84, 157
카하, 51, 186
나차, 85, 182
자다, 40, 146
나다, 57, 142
파아, 69, 173
파사, 52, 176
파다, 49, 159
가차, 44, 160
라사, 88, 151
라다, 82, 170
라자, 48, 156
나라, 58, 196
가자, 78, 153
다라, 84, 180
마라, 68, 157
파차, 61, 183
가사, 61, 173
다하, 56, 189
차차, 50, 140
타가, 49, 191
사다, 55, 150
사라, 71, 169
바차, 83, 141
마파, 89, 176
나사, 96, 190
하카, 94, 163
가가, 67, 185
하나, 63, 173
아자, 75, 184
하파, 94, 192
바마, 72, 193
아하, 77, 195
마자, 43, 160
바파, 78, 155
파바, 98, 153
다가, 74, 168
아나, 76, 144
바가, 56, 175
나가, 47, 142
파카, 55, 144
자자, 76, 148
다타, 61, 194
아바, 99, 192
자나, 89, 162
